SCHL_NR_ID,CNSS_YR,CNSS_SB_ID,SCHOOL_NM,SCHL_DSTRT,ELMNTRY_ST,SCNDRY_SCT,SCHL_YR_PD,DT_PBLCTNR,LATITUDE,LONGITUDE,X,Y
1,2011,5901035,?A'q'amnik Primary School,Southeast Kootenay,53,0,2016/2017,2017,49.582977,-115.75518,,
2,2011,5901022,Amy Woodland Elementary,Southeast Kootenay,273,0,2016/2017,2017,49.502802,-115.76873,,
3,2011,5901003,Elkford Elementary Secondary,Southeast Kootenay,32,150,2016/2017,2017,50.024445,-114.92166,,
4,2011,5901012,Fernie Secondary,Southeast Kootenay,55,284,2016/2017,2017,49.514039,-115.05414,,
5,2011,5901006,Frank J Mitchell Elementary,Southeast Kootenay,357,0,2016/2017,2017,49.736227,-114.89314,,
6,2011,5901022,Gordon Terrace Elementary,Southeast Kootenay,258,0,2016/2017,2017,49.497102,-115.77409,,
7,2011,5901022,Highlands Elementary,Southeast Kootenay,278,0,2016/2017,2017,49.501955,-115.73572,,
8,2011,5901012,Isabella Dicken Elementary,Southeast Kootenay,408,0,2016/2017,2017,49.509617,-115.05490,,
9,2011,5901019,Jaffray Elem-Jr Secondary,Southeast Kootenay,152,34,2016/2017,2017,49.372250,-115.29958,,
10,2011,5901022,Kootenay Christian Academy,Southeast Kootenay,137,24,2016/2017,2017,49.522001,-115.75506,,
11,2011,5901012,Kootenay Discovery School,Southeast Kootenay,3,167,2016/2017,2017,49.511794,-115.05270,,
12,2011,5901022,Kootenay Educational Services,Southeast Kootenay,0,93,2016/2017,2017,49.512517,-115.75788,,
13,2011,5901022,Kootenay Orchards Elementary,Southeast Kootenay,228,0,2016/2017,2017,49.496269,-115.75414,,
14,2011,5901022,Laurie Middle School,Southeast Kootenay,106,257,2016/2017,2017,49.508481,-115.75699,,
15,2011,5901022,Mount Baker Secondary,Southeast Kootenay,0,843,2016/2017,2017,49.512172,-115.76188,,
16,2011,5901022,Parkland Middle School,Southeast Kootenay,134,287,2016/2017,2017,49.497791,-115.77932,,
17,2011,5901022,Pinewood Elementary,Southeast Kootenay,116,0,2016/2017,2017,49.514365,-115.77456,,
18,2011,5901003,Rocky Mountain Elementary,Southeast Kootenay,237,0,2016/2017,2017,50.008169,-114.93314,,
19,2011,5901006,Sparwood Secondary,Southeast Kootenay,42,206,2016/2017,2017,49.734691,-114.89041,,
20,2011,5901022,St Mary's Catholic Independent,Southeast Kootenay,130,0,2016/2017,2017,49.503719,-115.75775,,
21,2011,5901022,Steeples Elementary,Southeast Kootenay,187,0,2016/2017,2017,49.518201,-115.74789,,
22,2011,5901022,T M Roberts Elementary,Southeast Kootenay,376,0,2016/2017,2017,49.504533,-115.77817,,
23,2011,5901012,The Fernie Academy,Southeast Kootenay,197,92,2016/2017,2017,49.502640,-115.06206,,
24,2011,5939007,Alexander Park Elementary,Rocky Mountain,229,0,2016/2017,2017,51.297778,-116.96472,,
25,2011,5901039,David Thompson Secondary,Rocky Mountain,0,416,2016/2017,2017,50.503009,-116.04199,,
26,2011,5901048,Edgewater Elementary,Rocky Mountain,104,0,2016/2017,2017,50.695285,-116.13641,,
